id,key,value,type
170489246,highway,turning_circle,regular
170489345,highway,turning_circle,regular
170489816,highway,turning_circle,regular
170489964,highway,turning_circle,regular
170490270,highway,turning_circle,regular
170490968,highway,turning_circle,regular
170491059,noexit,yes,regular
170491206,highway,turning_circle,regular
170491220,highway,turning_circle,regular
170491408,highway,turning_circle,regular
170491621,highway,turning_circle,regular
170491897,highway,turning_circle,regular
170492165,highway,turning_circle,regular
170492340,highway,turning_circle,regular
170492550,highway,turning_circle,regular
170492574,highway,turning_circle,regular
170492728,railway,level_crossing,regular
170492741,railway,level_crossing,regular
170492837,highway,traffic_signals,regular
170492837,traffic_signals,signal,regular
170492905,highway,turning_circle,regular
170493086,highway,turning_circle,regular
170493257,highway,turning_circle,regular
170493268,highway,turning_circle,regular
170494464,highway,turning_circle,regular
170494502,highway,turning_circle,regular
170494552,highway,turning_circle,regular
170494581,highway,turning_circle,regular
170494649,highway,turning_circle,regular
170495514,highway,turning_circle,regular
170495542,highway,turning_circle,regular
170496122,highway,turning_circle,regular
170496373,highway,turning_circle,regular
170496675,railway,level_crossing,regular
170496857,highway,turning_circle,regular
171523163,highway,turning_circle,regular
171530397,highway,turning_circle,regular
171532585,railway,level_crossing,regular
171532629,power,tower,regular
171532632,power,tower,regular
171532637,power,tower,regular
171536414,highway,turning_circle,regular
171545968,power,pole,regular
171545970,power,pole,regular
171545976,power,pole,regular
171545979,power,pole,regular
171545982,power,pole,regular
171545984,power,pole,regular
171545988,power,pole,regular
171545994,power,pole,regular
171554411,highway,turning_circle,regular
171556656,highway,turning_circle,regular
171564847,highway,turning_circle,regular
171568194,highway,turning_circle,regular
171571904,highway,turning_circle,regular
171575874,highway,turning_circle,regular
171576187,highway,turning_circle,regular
171578360,highway,turning_circle,regular
171580889,highway,turning_circle,regular
171580913,highway,turning_circle,regular
171583917,highway,turning_circle,regular
171585031,highway,turning_circle,regular
171585146,railway,level_crossing,regular
171589835,highway,turning_circle,regular
171590700,highway,turning_circle,regular
171592011,highway,turning_circle,regular
171592416,highway,turning_circle,regular
171593181,highway,turning_circle,regular
171593676,highway,turning_circle,regular
171601428,highway,turning_circle,regular
171602122,highway,turning_circle,regular
171602402,highway,turning_circle,regular
171602671,highway,turning_circle,regular
171605339,highway,turning_circle,regular
171608044,highway,turning_circle,regular
171609453,highway,turning_circle,regular
171609472,highway,turning_circle,regular
171610274,highway,turning_circle,regular
171612972,highway,turning_circle,regular
171613720,highway,turning_circle,regular
171613763,highway,turning_circle,regular
171614936,highway,turning_circle,regular
171615644,highway,turning_circle,regular
171618799,highway,turning_circle,regular
171618883,highway,turning_circle,regular
171619505,highway,turning_circle,regular
171619899,highway,turning_circle,regular
171620810,highway,turning_circle,regular
171621027,highway,turning_circle,regular
171621093,highway,turning_circle,regular
171622720,highway,turning_circle,regular
171622742,highway,turning_circle,regular
171624843,highway,turning_circle,regular
171628370,highway,turning_circle,regular
171628499,highway,turning_circle,regular
171629428,highway,turning_circle,regular
171631128,highway,turning_circle,regular
171631141,highway,turning_circle,regular
171632387,highway,turning_circle,regular
171634438,railway,level_crossing,regular
171637044,highway,turning_circle,regular
171638641,highway,turning_circle,regular
316979033,is_in,"North Carolina,N.C.,NC,USA",regular
316979033,name,Cumberland,regular
316979033,place,county,regular
357767472,amenity,school,regular
357767472,ele,48,regular
357767472,gnis:county_id,51,regular
357767472,gnis:created,6/17/1980,regular
357767472,gnis:feature_id,980338,regular
357767472,gnis:state_id,37,regular
357767472,name,Ashley School,regular
357767778,amenity,place_of_worship,regular
357767778,ele,63,regular
357767778,gnis:county_id,51,regular
357767778,gnis:created,6/17/1980,regular
357767778,gnis:feature_id,980594,regular
357767778,gnis:state_id,37,regular
357767778,name,Bashan Church,regular
357767778,religion,christian,regular
357767946,amenity,place_of_worship,regular
357767946,ele,77,regular
357767946,gnis:county_id,51,regular
357767946,gnis:created,6/17/1980,regular
357767946,gnis:feature_id,980798,regular
357767946,gnis:state_id,37,regular
357767946,name,Beaver Creek Church,regular
357767946,religion,christian,regular
357768072,amenity,school,regular
357768072,ele,56,regular
357768072,gnis:county_id,51,regular
357768072,gnis:created,6/17/1980,regular
357768072,gnis:feature_id,980972,regular
357768072,gnis:state_id,37,regular
357768072,name,Belvedere School,regular
357768712,amenity,place_of_worship,regular
357768712,ele,61,regular
357768712,gnis:county_id,51,regular
357768712,gnis:created,6/17/1980,regular
357768712,gnis:feature_id,981287,regular
357768712,gnis:state_id,37,regular
357768712,name,Bible Center Church,regular
357768712,religion,christian,regular
357769110,ele,37,regular
357769110,gnis:county_id,51,regular
357769110,gnis:created,6/17/1980,regular
357769110,gnis:feature_id,981835,regular
357769110,gnis:state_id,37,regular
357769110,landuse,reservoir,regular
357769110,name,Branson Lake,regular
357769729,amenity,place_of_worship,regular
357769729,ele,50,regular
357769729,gnis:county_id,51,regular
357769729,gnis:created,6/17/1980,regular
357769729,gnis:feature_id,982467,regular
357769729,gnis:state_id,37,regular
357769729,name,Calvert Church,regular
357769729,religion,christian,regular
357769755,amenity,place_of_worship,regular
357769755,ele,67,regular
357769755,gnis:county_id,51,regular
357769755,gnis:created,6/17/1980,regular
357769755,gnis:feature_id,982533,regular
357769755,gnis:state_id,37,regular
357769755,name,Camp Ground Church,regular
357769755,religion,christian,regular
357769817,amenity,place_of_worship,regular
357769817,ele,30,regular
357769817,gnis:county_id,51,regular
357769817,gnis:created,6/17/1980,regular
357769817,gnis:feature_id,982623,regular
357769817,gnis:state_id,37,regular
357769817,name,Cape Fear Church,regular
357769817,religion,christian,regular
357770341,amenity,school,regular
357770341,ele,25,regular
357770341,gnis:county_id,51,regular
357770341,gnis:created,6/17/1980,regular
357770341,gnis:feature_id,982997,regular
357770341,gnis:state_id,37,regular
357770341,name,Champbellton School,regular
357770543,amenity,school,regular
357770543,ele,55,regular
357770543,gnis:county_id,51,regular
357770543,gnis:created,6/17/1980,regular
357770543,gnis:feature_id,983133,regular
357770543,gnis:state_id,37,regular
357770543,name,Chestnut School,regular
357770876,amenity,place_of_worship,regular
357770876,ele,46,regular
357770876,gnis:county_id,51,regular
357770876,gnis:created,6/17/1980,regular
357770876,gnis:feature_id,983413,regular
357770876,gnis:state_id,37,regular
357770876,name,Comfort Church,regular
357770876,religion,christian,regular
357771240,amenity,grave_yard,regular
357771240,ele,26,regular
357771240,gnis:county_id,51,regular
357771240,gnis:created,6/17/1980,regular
357771240,gnis:feature_id,983781,regular
357771240,gnis:state_id,37,regular
357771240,name,Cross Creek Cemetery,regular
357771792,amenity,school,regular
357771792,ele,62,regular
357771792,gnis:county_id,51,regular
357771792,gnis:created,6/17/1980,regular
357771792,gnis:feature_id,984466,regular
357771792,gnis:state_id,37,regular
357771792,name,E E Smith High School,regular
357771792,wikidata,Q15215774,regular
357772371,amenity,place_of_worship,regular
357772371,ele,56,regular
357772371,gnis:county_id,51,regular
357772371,gnis:created,6/17/1980,regular
357772371,gnis:feature_id,984852,regular
357772371,gnis:state_id,37,regular
357772371,name,Eutaw Church,regular
357772371,religion,christian,regular
357772649,amenity,school,regular
357772649,ele,30,regular
357772649,gnis:county_id,51,regular
357772649,gnis:created,6/17/1980,regular
357772649,gnis:feature_id,984994,regular
357772649,gnis:state_id,37,regular
357772649,name,TC Berrien Elementary School,regular
357772684,addr:city,Fayetteville,regular
357772684,addr:housenumber,1200,regular
357772684,addr:postcode,28301,regular
357772684,addr:state,NC,regular
357772684,addr:street,Murchison Road,regular
357772684,amenity,university,regular
357772684,ele,39,regular
357772684,gnis:county_id,51,regular
357772684,gnis:created,6/17/1980,regular
357772684,gnis:feature_id,985021,regular
357772684,gnis:state_id,37,regular
357772684,name,Fayetteville State University,regular
357772684,operator,A Constituent Institution of the University of North Carolina,regular
357772686,amenity,place_of_worship,regular
357772686,ele,56,regular
357772686,gnis:county_id,51,regular
357772686,gnis:created,6/17/1980,regular
357772686,gnis:feature_id,985022,regular
357772686,gnis:state_id,37,regular
357772686,name,Faymont Church,regular
357772686,religion,christian,regular
357772882,amenity,place_of_worship,regular
357772882,ele,27,regular
357772882,gnis:county_id,51,regular
357772882,gnis:created,6/17/1980,regular
357772882,gnis:feature_id,985195,regular
357772882,gnis:state_id,37,regular
357772882,name,Flat Swamp Church,regular
357772882,religion,christian,regular
357773352,amenity,place_of_worship,regular
357773352,ele,76,regular
357773352,gnis:county_id,51,regular
357773352,gnis:created,6/17/1980,regular
357773352,gnis:feature_id,985520,regular
357773352,gnis:state_id,37,regular
357773352,name,Galatia Church,regular
357773352,religion,christian,regular
357773579,ele,31,regular
357773579,gnis:county_id,51,regular
357773579,gnis:created,6/17/1980,regular
357773579,gnis:feature_id,985737,regular
357773579,gnis:state_id,37,regular
357773579,landuse,reservoir,regular
357773579,name,Glenville Lake,regular
357773653,amenity,place_of_worship,regular
357773653,ele,31,regular
357773653,gnis:county_id,51,regular
357773653,gnis:created,6/17/1980,regular
357773653,gnis:feature_id,985790,regular
357773653,gnis:state_id,37,regular
357773653,name,Good Hope Missionary Church,regular
357773653,religion,christian,regular
357773800,amenity,place_of_worship,regular
357773800,ele,65,regular
357773800,gnis:county_id,51,regular
357773800,gnis:created,6/17/1980,regular
357773800,gnis:feature_id,985886,regular
357773800,gnis:state_id,37,regular
357773800,name,Grace Church,regular
357773800,religion,christian,regular
357774753,amenity,place_of_worship,regular
357774753,ele,65,regular
357774753,gnis:county_id,51,regular
357774753,gnis:created,6/17/1980,regular
357774753,gnis:feature_id,986700,regular
357774753,gnis:state_id,37,regular
357774753,name,Hickory Grove Church,regular
357774753,religion,christian,regular
357775207,amenity,place_of_worship,regular
357775207,ele,60,regular
357775207,gnis:county_id,51,regular
357775207,gnis:created,6/17/1980,regular
357775207,gnis:feature_id,987023,regular
357775207,gnis:state_id,37,regular
357775207,name,Hoods Temple,regular
357776178,amenity,place_of_worship,regular
357776178,ele,27,regular
357776178,gnis:county_id,51,regular
357776178,gnis:created,6/17/1980,regular
357776178,gnis:feature_id,987806,regular
357776178,gnis:state_id,37,regular
357776178,name,Judson Church,regular
357776178,religion,christian,regular
357776430,amenity,grave_yard,regular
357776430,ele,57,regular
357776430,gnis:county_id,51,regular
357776430,gnis:created,6/17/1980,regular
357776430,gnis:feature_id,988074,regular
357776430,gnis:state_id,37,regular
357776430,name,Lafayette Memorial Cemetery,regular
357777816,amenity,place_of_worship,regular
357777816,ele,30,regular
357777816,gnis:county_id,51,regular
357777816,gnis:created,6/17/1980,regular
357777816,gnis:feature_id,989476,regular
357777816,gnis:state_id,37,regular
357777816,name,Mattox Church,regular
357777816,religion,christian,regular
357777837,amenity,school,regular
357777837,ele,27,regular
357777837,gnis:county_id,51,regular
357777837,gnis:created,6/17/1980,regular
357777837,gnis:feature_id,989495,regular
357777837,gnis:state_id,37,regular
357777837,name,Maxwell School,regular
357778064,amenity,place_of_worship,regular
357778064,ele,67,regular
357778064,gnis:county_id,51,regular
357778064,gnis:created,6/17/1980,regular
357778064,gnis:feature_id,989648,regular
357778064,gnis:state_id,37,regular
357778064,name,McPherson Church,regular
357778064,religion,christian,regular
357778403,ele,41,regular
357778403,gnis:county_id,51,regular
357778403,gnis:created,6/17/1980,regular
357778403,gnis:feature_id,990066,regular
357778403,gnis:state_id,37,regular
357778403,landuse,reservoir,regular
357778403,name,Mintz Pond,regular
357778592,amenity,place_of_worship,regular
357778592,ele,27,regular
357778592,gnis:county_id,51,regular
357778592,gnis:created,6/17/1980,regular
357778592,gnis:feature_id,990191,regular
357778592,gnis:state_id,37,regular
357778592,name,Moores Chapel,regular
357778592,religion,christian,regular
357778801,amenity,place_of_worship,regular
357778801,ele,62,regular
357778801,gnis:county_id,51,regular
357778801,gnis:created,6/17/1980,regular
357778801,gnis:feature_id,990328,regular
357778801,gnis:state_id,37,regular
357778801,name,Mount Calvary Church,regular
357778801,religion,christian,regular
357778933,amenity,place_of_worship,regular
357778933,ele,62,regular
357778933,gnis:county_id,51,regular
357778933,gnis:created,6/17/1980,regular
357778933,gnis:feature_id,990381,regular
357778933,gnis:state_id,37,regular
357778933,name,Mount Gilead Church,regular
357778933,religion,christian,regular
357779566,amenity,place_of_worship,regular
357779566,ele,29,regular
357779566,gnis:county_id,51,regular
357779566,gnis:created,6/17/1980,regular
357779566,gnis:feature_id,990633,regular
357779566,gnis:state_id,37,regular
357779566,name,Mount Zion Church,regular
357779566,religion,christian,regular
357780447,amenity,school,regular
357780447,ele,44,regular
357780447,gnis:county_id,51,regular
357780447,gnis:created,6/17/1980,regular
357780447,gnis:feature_id,991119,regular
357780447,gnis:state_id,37,regular
357780447,name,Newbold Training School,regular
357784684,amenity,place_of_worship,regular
357784684,ele,24,regular
357784684,gnis:county_id,51,regular
357784684,gnis:created,6/17/1980,regular
357784684,gnis:feature_id,993987,regular
357784684,gnis:state_id,37,regular
357784684,name,Saint Lukes Church,regular
357784684,religion,christian,regular
357784944,amenity,place_of_worship,regular
357784944,ele,26,regular
357784944,gnis:county_id,51,regular
357784944,gnis:created,6/17/1980,regular
357784944,gnis:feature_id,994080,regular
357784944,gnis:state_id,37,regular
357784944,name,Saint Pauls Church,regular
357784944,religion,christian,regular
357785018,amenity,place_of_worship,regular
357785018,ele,57,regular
357785018,gnis:county_id,93,regular
357785018,gnis:created,6/17/1980,regular
357785018,gnis:feature_id,994111,regular
357785018,gnis:state_id,37,regular
357785018,name,Saint Peters Church,regular
357785018,religion,christian,regular
357786251,amenity,place_of_worship,regular
357786251,ele,57,regular
357786251,gnis:county_id,51,regular
357786251,gnis:created,6/17/1980,regular
357786251,gnis:feature_id,995066,regular
357786251,gnis:state_id,37,regular
357786251,name,Snow Hill Church,regular
357786251,religion,christian,regular
357786963,amenity,place_of_worship,regular
357786963,ele,55,regular
357786963,gnis:county_id,51,regular
357786963,gnis:created,6/17/1980,regular
357786963,gnis:feature_id,995580,regular
357786963,gnis:state_id,37,regular
357786963,name,Stony Point Church,regular
357786963,religion,christian,regular
357787222,amenity,place_of_worship,regular
357787222,ele,67,regular
357787222,gnis:county_id,93,regular
357787222,gnis:created,6/17/1980,regular
357787222,gnis:feature_id,995807,regular
357787222,gnis:state_id,37,regular
357787222,name,Tabernacle Church,regular
357787222,religion,christian,regular
357788349,amenity,place_of_worship,regular
357788349,ele,57,regular
357788349,gnis:county_id,51,regular
357788349,gnis:created,6/17/1980,regular
357788349,gnis:feature_id,996619,regular
357788349,gnis:state_id,37,regular
357788349,name,Victory Church,regular
357788349,religion,christian,regular
357788373,amenity,place_of_worship,regular
357788373,ele,64,regular
357788373,gnis:county_id,51,regular
357788373,gnis:created,6/17/1980,regular
357788373,gnis:feature_id,996631,regular
357788373,gnis:state_id,37,regular
357788373,name,Villase Church,regular
357788373,religion,christian,regular
357789348,ele,53,regular
357789348,gnis:county_id,51,regular
357789348,gnis:created,6/17/1980,regular
357789348,gnis:feature_id,997355,regular
357789348,gnis:state_id,37,regular
357789348,landuse,reservoir,regular
357789348,name,Lake William,regular
357790411,ele,27,regular
357790411,gnis:county_id,51,regular
357790411,gnis:created,1/1/2000,regular
357790411,gnis:feature_id,998251,regular
357790411,gnis:state_id,37,regular
357790411,name,Hope Mills Dam Number One,regular
357790411,waterway,dam,regular
357790427,ele,55,regular
357790427,gnis:county_id,51,regular
357790427,gnis:created,1/1/2000,regular
357790427,gnis:feature_id,998259,regular
357790427,gnis:state_id,37,regular
357790427,landuse,reservoir,regular
357790427,name,Barbours Lake,regular
357790430,ele,55,regular
357790430,gnis:county_id,51,regular
357790430,gnis:created,1/1/2000,regular
357790430,gnis:feature_id,998260,regular
357790430,gnis:state_id,37,regular
357790430,name,Barbours Lake Dam,regular
357790430,waterway,dam,regular
357790432,ele,46,regular
357790432,gnis:county_id,51,regular
357790432,gnis:created,1/1/2000,regular
357790432,gnis:feature_id,998261,regular
357790432,gnis:state_id,37,regular
357790432,landuse,reservoir,regular
357790432,name,Kings Pond,regular
357790435,ele,46,regular
357790435,gnis:county_id,51,regular
357790435,gnis:created,1/1/2000,regular
357790435,gnis:feature_id,998262,regular
357790435,gnis:state_id,37,regular
357790435,name,Kings Pond Dam,regular
357790435,waterway,dam,regular
357790437,ele,40,regular
357790437,gnis:county_id,51,regular
357790437,gnis:created,1/1/2000,regular
357790437,gnis:feature_id,998263,regular
357790437,gnis:state_id,37,regular
357790437,name,Lake Lynn Dam,regular
357790437,waterway,dam,regular
357790468,ele,40,regular
357790468,gnis:county_id,51,regular
357790468,gnis:created,1/1/2000,regular
357790468,gnis:feature_id,998277,regular
357790468,gnis:state_id,37,regular
357790468,name,Irongate Golf Course Lake Dam,regular
357790468,waterway,dam,regular
357790486,ele,42,regular
357790486,gnis:county_id,51,regular
357790486,gnis:created,1/1/2000,regular
357790486,gnis:feature_id,998284,regular
